table_name,field_name,language,translation,record_id
stops,stop_name,es,Baiona,1281
stops,stop_name,eu,Oto hiribidea / Handizkariak,1270
stops,stop_name,es,Av. Los Huetos / Mayoristas,1270
stops,stop_name,eu,Heraclio Fournier,1249
stops,stop_name,es,Heraclio Fournier 24,1249
stops,stop_name,eu,Wellington,1247
stops,stop_name,es,Wellington,1247
stops,stop_name,eu,Nazio batuak / Salvador Dali,1325
stops,stop_name,es,Naciones Unidas / Salvador Dalí,1325
stops,stop_name,eu,Henry Morton Stanley / Oto hiribidea,1349
stops,stop_name,es,Henry Morton Stanley / Av Los Huetos,1349
stops,stop_name,eu,Salbaterrabide,1054
stops,stop_name,es,Salbatierrabide,1054
stops,stop_name,eu,Aretxabaleta (herria),1120
stops,stop_name,es,Aretxabaleta / Pueblo,1120
stops,stop_name,eu,Euskal Herria,1065
stops,stop_name,es,Euskal Herria,1065
stops,stop_name,eu,Martxoak 8,1165
stops,stop_name,es,8 de marzo 27,1165
stops,stop_name,eu,Lermandabidea,1220
stops,stop_name,es,Lermandabidea 4,1220
stops,stop_name,eu,Gasteiz hiribidea,1018
stops,stop_name,es,Av. Gasteiz 54,1018
stops,stop_name,eu,Intermodala,1160
stops,stop_name,es,Intermodal,1160
stops,stop_name,eu,Fontetxako Gaztelua / Aretxaga,1071
stops,stop_name,es,Castillo Fontecha / Aretxaga,1071
stops,stop_name,eu,Larragana / Bergarako atea,1312
stops,stop_name,es,Larragana / Portal Bergara,1312
stops,stop_name,eu,Jundiz / Zurrupitieta,1362
stops,stop_name,es,Jundiz / Zurrupitieta,1362
stops,stop_name,eu,Juan Garai / Arriaga,1041
stops,stop_name,es,Juan de Garay / Arriaga,1041
stops,stop_name,eu,Betoñu (herria),1108
stops,stop_name,es,Betoño Pueblo,1108
stops,stop_name,eu,Legutianoko atea,1093
stops,stop_name,es,Portal Legutiano 41,1093
stops,stop_name,eu,Mariturri / Oion,1384
stops,stop_name,es,Mariturri / Oyón,1384
stops,stop_name,eu,Esmaltazioak,1078
stops,stop_name,es,Esmaltaciones,1078
stops,stop_name,eu,Zurbanoko atea,1345
stops,stop_name,es,Portal Zurbano 2,1345
stops,stop_name,eu,Frantzia,1137
stops,stop_name,es,Francia 23,1137
stops,stop_name,eu,Oto hiribidea,1335
stops,stop_name,es,Av. Los Huetos 2,1335
stops,stop_name,eu,Prado kalea,1296
stops,stop_name,es,Prado,1296
stops,stop_name,eu,Armentiabidea ,1147
stops,stop_name,es,Camino Armentia,1147
stops,stop_name,eu,Paduleta / Mendigorritxu,1206
stops,stop_name,es,Paduleta / Mendigorritxu,1206
stops,stop_name,eu,Madril,1084
stops,stop_name,es,Madrid 36,1084
stops,stop_name,eu,Mendigorritxu,1219
stops,stop_name,es,Mendigorritxu,1219
stops,stop_name,eu,Zurrupitieta / Jundiz,1217
stops,stop_name,es,Zurrupitieta / Jundiz,1217
stops,stop_name,eu,Landaberde ,1127
stops,stop_name,es,Landaberde,1127
stops,stop_name,eu,Lermandabidea / Zuazobidea,1215
stops,stop_name,es,Lermandabidea / Zuazobidea,1215
stops,stop_name,eu,Madrid / Martxoak 8,1083
stops,stop_name,es,Madrid / 8 de marzo,1083
stops,stop_name,eu,Unibertsitatea,1053
stops,stop_name,es,Unibertsitatea,1053
stops,stop_name,eu,Gasteiz hiribidea / Bastiturri,1017
stops,stop_name,es,Av. Gasteiz / Bastiturri,1017
stops,stop_name,eu,Heraclio Fournier,1250
stops,stop_name,es,Heraclio Fournier 42,1250
stops,stop_name,eu,Basaldea / Zurrupitieta,1212
stops,stop_name,es,Basaldea / Zurripitieta,1212
stops,stop_name,eu,Gasteiz hiribidea,1026
stops,stop_name,es,Av. Gasteiz 73,1026
stops,stop_name,eu,Elvira Zulueta,1328
stops,stop_name,es,Elvira Zulueta,1328
stops,stop_name,eu,Izardui Komandantea / Zumakadi,1360
stops,stop_name,es,Comandante Izarduy / Zumaquera,1360
stops,stop_name,eu,Luis Olariaga / Gernikako Arbola,1271
stops,stop_name,es,Luis Olariaga / Gernikako Arbola,1271
stops,stop_name,eu,Arriagako atea,1134
stops,stop_name,es,Portal Arriaga 21,1134
stops,stop_name,eu,Martxoak 8,1183
stops,stop_name,es,8 de marzo 10,1183
stops,stop_name,eu,Bremen / Düsseldorf,1351
stops,stop_name,es,Bremen/Düsseldorf,1351
stops,stop_name,eu,Herrandarrak,1037
stops,stop_name,es,Los Herrán 86,1037
stops,stop_name,eu,Aretxabaleta (herria),1122
stops,stop_name,es,Aretxabaleta / Pueblo,1122
stops,stop_name,eu,Olagibel / Anbulatorioa,1181
stops,stop_name,es,Olaguibel / Ambulatorio,1181
stops,stop_name,eu,Florida / Jacinto Benavente,1371
stops,stop_name,es,Florida / Jacinto Benavente,1371
stops,stop_name,eu,Iruña Veleia / Oion,1382
stops,stop_name,es,Iruña Veleia / Oyón,1382
stops,stop_name,eu,Heraclio Fournier,1248
stops,stop_name,es,Heraclio Fournier 2,1248
stops,stop_name,eu,Herrandarrak,1035
stops,stop_name,es,Los Herrán 36,1035
stops,stop_name,eu,Zumakadi ,1051
stops,stop_name,es,Zumaquera,1051
stops,stop_name,eu,Ramiro Maeztu,1155
stops,stop_name,es,Ramiro Maeztu 6,1155
stops,stop_name,eu,Arriagako atea,1159
stops,stop_name,es,Portal Arriaga 20,1159
stops,stop_name,eu,Paula Montal / Eskolapioak,1346
stops,stop_name,es,Paula Montal / Escolapias,1346
stops,stop_name,eu,Fontetxako Gaztelua / Gaztelako atea,1056
stops,stop_name,es,Castillo Fontecha / Castilla,1056
stops,stop_name,eu,Urartea / Bitorialanda,1185
stops,stop_name,es,Urartea / Vitorialanda,1185
stops,stop_name,eu,Mexiko / Egoitza,1068
stops,stop_name,es,Mexico / Residencia,1068
stops,stop_name,eu,Izardui Komandantea,1097
stops,stop_name,es,Comandante Izarduy 14,1097
stops,stop_name,eu,Fontetxako Gaztelua / Gaztelako atea,1073
stops,stop_name,es,Castillo Fontecha / Castilla,1073
stops,stop_name,eu,Juan Angel Sáez,1374
stops,stop_name,es,Juan Ángel Sáez,1374
stops,stop_name,eu,Antonio Machado,1262
stops,stop_name,es,Antonio Machado 17,1262
stops,stop_name,eu,Harrobi,1089
stops,stop_name,es,Harrobi,1089
stops,stop_name,eu,Giza Eskubideak / Sofia Erregina,1225
stops,stop_name,es,Derechos Humanos / Reina Sofía,1225
stops,stop_name,eu,Jacinto Benavente,1048
stops,stop_name,es,Jacinto Benavente 7,1048
stops,stop_name,eu,Betoñuko atea,1091
stops,stop_name,es,Portal Betoño 15,1091
stops,stop_name,eu,Honduras,1021
stops,stop_name,es,Honduras,1021
stops,stop_name,eu,Gamarrako atea,1115
stops,stop_name,es,Portal Gamarra 41,1115
stops,stop_name,eu,Arriurdina / Basaldea,1210
stops,stop_name,es,Arriurdina / Basaldea,1210
stops,stop_name,eu,Nazio Batuak / Mariturri,1322
stops,stop_name,es,Naciones Unidas / Mariturri,1322
stops,stop_name,eu,Florida / Jacinto Benavente,1258
stops,stop_name,es,Florida / Jacinto Benavente,1258
stops,stop_name,eu,Errege-Erregina Katolikoak,1039
stops,stop_name,es,Reyes Católicos 1,1039
stops,stop_name,eu,Zaramaga / Boulevard,1064
stops,stop_name,es,Zaramaga / Boulevard,1064
stops,stop_name,eu,Judimendi / San Juan,1099
stops,stop_name,es,Judimendi / San Juan,1099
stops,stop_name,eu,Areatza / Mercedes,1352
stops,stop_name,es,Las Arenas / Mercedes,1352
stops,stop_name,eu,Zurrupitieta / Mendigorritxu,1218
stops,stop_name,es,Zurrupitieta / Mendigorritxu,1218
stops,stop_name,eu,Bremen,1350
stops,stop_name,es,Bremen 15,1350
stops,stop_name,eu,Giza Eskubideak,1224
stops,stop_name,es,Derechos Humanos 29,1224
stops,stop_name,eu,Lermandabidea / Jundiz,1364
stops,stop_name,es,Lermandabidea / Jundiz,1364
stops,stop_name,eu,Done Jakue hiribidea,1238
stops,stop_name,es,Av. Santiago 55,1238
stops,stop_name,eu,Iliada / Gabriel Martínez de Aragón,1340
stops,stop_name,es,Iliada / Gabriel Martínez Aragón,1340
stops,stop_name,eu,Ramiro Maeztu,1156
stops,stop_name,es,Ramiro Maeztu 20,1156
stops,stop_name,eu,Iruñea / Lizarra,1279
stops,stop_name,es,Iruña / Lizarra,1279
stops,stop_name,eu,Brusela / Elorriagako atea,1338
stops,stop_name,es,Bruselas / Portal Elorriaga,1338
stops,stop_name,eu,Zaramaga / Nafarroako Errege-Erreginak,1003
stops,stop_name,es,Zaramaga / Reyes de Navarra,1003
stops,stop_name,eu,Aragoi,1081
stops,stop_name,es,Aragón,1081
stops,stop_name,eu,Oto hiribidea / Ehari,1172
stops,stop_name,es,Av. Los Huetos / Ali,1172
stops,stop_name,eu,Adriano VI.a / Buztinzuri,1016
stops,stop_name,es,Adriano VI / Bustinzuri,1016
stops,stop_name,eu,Teodoro Dublang / Buztinzuri,1373
stops,stop_name,es,Teodoro Dublang / Bustinzuri,1373
stops,stop_name,eu,Gasteiz hiribidea / Epaitegiak,1228
stops,stop_name,es,Av. Gasteiz / Juzgados,1228
stops,stop_name,eu,Hegoalde,1052
stops,stop_name,es,Hegoalde,1052
stops,stop_name,eu,Tomas Zumarraga Dohatsua / Argentina,1169
stops,stop_name,es,Bº Tomás Zumarraga / Argentina,1169
stops,stop_name,eu,Mintegia,1311
stops,stop_name,es,Viveros,1311
stops,stop_name,eu,Gamarrako plaza,1126
stops,stop_name,es,Plaza Gamarra,1126
stops,stop_name,eu,Tomas Zumarraga Dohatsua,1170
