route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
B,LaborablesAgostoSINL6L7L10(Tuvisa2023-06-05),pse-4e1d458a4cf,hacia Zaramaga/ Boulevard,11:17_LB_1074_1064,0,,shp_3_66,0,0
B,LaborablesBEIcargaMendi(Tuvisa-2023-01-30),pse-4e1edfc5a1a,hacia Mendizorrotza,10:16_LB_1064_1074,0,,shp_3_78,0,0
1,Sabados(Tuvisa-2023-01-30),pse-4e21ff1eb0c,hacia Catedral,08:40_L1_1309_1012,0,,shp_3_68,0,0
B,Laborables(Tuvisa2023-06-05),pse-4e2717206be,hacia Mendizorrotza,11:12_LB_1064_1074,0,,shp_3_78,0,0
5,4deAgosto(Tuvisa2023-06-05),pse-4e2735516d4,hacia Bruselas / Portal Elorriaga,13:35_L5A_1192_1338,1,,shp_3_4,0,0
8,DomingosAgosto(Tuvisa2023-06-05),pse-4e29e421631,hacia Intermodal,18:20_L8_1031_1022,0,,shp_3_61,0,0
A,DomingosAgosto(Tuvisa2023-06-05),pse-4e2c26c6ccf,hacia Mendizorrotza,13:00_LA_1042_1055,0,,shp_3_76,0,0
1,LaborablesAgosto(Tuvisa2023-06-05),pse-4e2cc5bdf1c,hacia Reyes Navarra 19,13:57_L1_1012_1309,0,,shp_3_12,0,0
7,FiestasBlancaLab(Tuvisa2023-06-05),pse-4e2e13c6daf,hacia Paz/Hospital Santiago,18:35_L7_1257_1334,0,,shp_3_44,0,0
B,Laborables(Tuvisa2023),pse-4e30e19c0e4,hacia Mendizorrotza,09:55_LB_1064_1074,0,,shp_3_78,0,0
A,DomingosAgosto(Tuvisa2023-06-05),pse-4e386398770,hacia Mendizorrotza,16:20_LA_1042_1055,0,,shp_3_76,0,0
B,SabadosAgosto(Tuvisa2023-06-05),pse-4e38684e17c,hacia Mendizorrotza,11:45_LB_1064_1074,0,,shp_3_78,0,0
8,Domingos(Tuvisa2023),pse-4e3a4a36486,hacia Intermodal,21:40_L8_1031_1022,0,,shp_3_61,0,0
6,LaborablesAgosto(Tuvisa2023-06-05),pse-4e3b07167aa,hacia Mariturri / Reina Sofía,15:15_L6_1340_1385,1,,shp_3_51,0,0
4,SantiagoFestivo(Tuvisa2023-06-05),pse-4e3e302c7d3,hacia Iruña Veleia / Oyón,09:20_L4_1282_1382,0,,shp_3_38,0,0
A,Laborables(Tuvisa2023),pse-4e3f8a40bf0,hacia Mendizorrotza,13:18_LA_1042_1055,0,,shp_3_76,0,0
7,4deAgosto(Tuvisa2023-06-05),pse-4e4359bedf5,hacia Iliada / Bulevar Salburua,15:20_L7_1334_1257,1,,shp_3_65,0,0
G1,Gautxori4y5Agosto(Tuvisa2023-06-05),pse-4e4397aa2d4,hacia Catedral,05:40_G1_1012_1012,0,,shp_3_17,0,0
6,LaborablesAgosto(Tuvisa2023-06-05),pse-4e4aab9bd68,hacia Mariturri / Reina Sofía,08:00_L6_1340_1385,1,,shp_3_51,0,0
5,Laborables(Tuvisa2023-04-14),pse-4e4be29adcb,hacia Bruselas / Portal Elorriaga,13:35_L5B_1205_1338,1,,shp_3_20,0,0
ES,ESSanPrudencia28Abril(Tuvisa2023-04-14),pse-4e54c894ba2,hacia Paz,20:15_ES_ARMENTIA_PAZ,1,,shp_3_5,0,0
6,Laborables(Tuvisa2023-04-14),pse-4e54df251e3,hacia Mariturri / Reina Sofía,18:20_L6_1340_1385,1,,shp_3_51,0,0
1,DomingosAgostoSINL6L7L10(Tuvisa2023-06-05),pse-4e573948837,hacia Reyes Navarra 19,11:57_L1_1012_1309,0,,shp_3_12,0,0
10,Laborables(Tuvisa2023-04-14),pse-4e57c36d943,hacia Naciones Unidas / Mariturri,13:10_L10_1379_1322,1,,shp_3_47,0,0
10,Domingos(Tuvisa2023),pse-4e5cb4fa3c8,hacia Naciones Unidas / Mariturri,13:00_L10_1379_1322,1,,shp_3_47,0,0
10,FiestasBlancaFestivo(Tuvisa2023-06-05),pse-4e5cdaa7988,hacia Naciones Unidas / Mariturri,19:40_L10_1298_1322,1,,shp_3_13,0,0
5,Laborables(Tuvisa2023),pse-4e5d9c443ea,hacia Bruselas / Portal Elorriaga,17:00_L5C_1217_1338,1,,shp_3_77,0,0
8,Sabados(Tuvisa2023-04-14),pse-4e616931031,hacia Intermodal,07:40_L8_1031_1022,0,,shp_3_61,0,0
5,Sabados(Tuvisa2023),pse-4e61da6efe3,hacia Bruselas / Portal Elorriaga,07:05_L5A_1192_1338,1,,shp_3_4,0,0
7,FiestasBlancaLab(Tuvisa2023-06-05),pse-4e631334260,hacia Paz/Hospital Santiago,10:50_L7_1257_1334,0,,shp_3_44,0,0
5,SabadosAgosto(Tuvisa2023-06-05),pse-4e642ef9080,hacia Bruselas / Portal Elorriaga,14:35_L5A_1192_1338,1,,shp_3_4,0,0
